id,player_name,team,opponent,prop_type,line_value,odds_over,game_time,merchant_name,last_updated,trend_history,last_game_hit
5039,Cason Wallace,OKC,CLE,AST,3.5,1.76,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,0,1,1,1,1,0,0,0,0,0,0,0",1
5043,Luguentz Dort,OKC,CLE,AST,1.5,1.88,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,0,0,1,0,0,0,1,1,1,0,1,1",1
5047,Isaiah Hartenstein,OKC,CLE,PTS,9.5,1.8,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,0,1,0,0,1,0,1,0,0,0,0,0",1
5050,Dean Wade,CLE,OKC,PTS,5.5,1.85,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,0,0,0,0,1,0,1,1,1,1,0,0",1
5051,Jared McCain,OKC,CLE,PTS,10.5,1.77,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,0,0,0,0,1,0,1,1,0,0,0",1
5052,Jarrett Allen,CLE,OKC,PTS,14.5,1.94,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,1,1,0,1,0,1,0,0,1,0,1",1
5054,Donovan Mitchell,CLE,OKC,PTS,25.5,1.82,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,1,1,1,1,0,0,0,1,1,1,0,0",1
5057,Luguentz Dort,OKC,CLE,PTS,9.5,1.85,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,0,0,0,0,1,0,0,1,1,0,1,1",1
5064,Isaiah Joe,OKC,CLE,PR,16.5,1.93,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,1,1,0,1,0,0,1,0,0,0,1",1
5066,Dean Wade,CLE,OKC,PR,9.5,1.8,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,0,0,0,0,0,0,1,1,1,1,1,0",1
5067,Jarrett Allen,CLE,OKC,PR,23.5,1.82,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,1,1,0,1,0,1,0,0,1,0,1",1
5068,Jared McCain,OKC,CLE,PR,13.5,1.78,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,0,0,0,0,1,0,1,1,0,0,0",1
5070,Donovan Mitchell,CLE,OKC,PR,29.5,1.83,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,1,1,1,1,0,0,1,1,1,1,0,0",1
5071,Donovan Mitchell,CLE,OKC,PRA,34.5,1.78,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,1,1,1,1,0,0,1,1,1,1,0,0",1
5077,Isaiah Joe,OKC,CLE,PRA,18.5,1.89,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,1,1,0,1,0,0,1,0,0,0,1",1
5079,Jarrett Allen,CLE,OKC,PRA,25.5,1.93,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,1,1,0,1,0,1,0,0,0,0,1",1
5080,Jared McCain,OKC,CLE,PRA,16.5,1.85,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,0,0,0,0,0,0,1,1,0,0,0",1
5085,Jarrett Allen,CLE,OKC,REB,9.5,1.88,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,0,1,1,1,1,0,0,0,0,0,0,0",1
5086,Aaron Wiggins,OKC,CLE,REB,3.5,1.96,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,0,1,0,1,0,1,1,1,0,0,0,1",1
5087,Jared McCain,OKC,CLE,REB,2.5,1.71,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,1,0,0,0,0,0,0,1,0,0,0",1
5089,Cason Wallace,OKC,CLE,REB,3.5,2.42,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,1,1,1,0,0,1,0,0,0,1,0,0",1
5092,Isaiah Joe,OKC,CLE,REB,3.5,2.0,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,0,0,0,1,0,0,0,0,0,0,0,1",1
5098,Cason Wallace,OKC,CLE,RA,6.5,1.74,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,1,1,1,1,0,0,0,0,0,0,0,0",1
5105,Luguentz Dort,OKC,CLE,FG3M,1.5,1.77,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,0,1,0,0,1,1,0,1,1,0,1,1",1
5106,Jared McCain,OKC,CLE,FG3M,1.5,1.68,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,1,0,0,0,1,1,0,1,1,0,0,0",1
5109,Chet Holmgren,OKC,CLE,FG3M,1.5,2.78,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,0,0,0,0,0,0,0,0,0,0,1,0,1",1
5114,Dean Wade,CLE,OKC,FG3M,1.5,2.48,2026-02-22T18:10:00Z,fanduel,2026-02-22 07:42:31,"1,1,0,0,0,0,1,0,1,0,1,1,0,0",1
5126,Jarrett Allen,CLE,OKC,AST,1.5,2.14,2026-02-22T18:10:00Z,draftkings,2026-02-22 07:42:31,"1,0,0,0,0,1,1,1,1,0,0,0,0,0",1
5139,Dennis Schroder,CLE,OKC,PTS,7.5,1.79,2026-02-22T18:10:00Z,draftkings,2026-02-22 07:42:31,"1,1,0,0,0,1,0,0,1,0,1,1,1,0",1
5143,Jarrett Allen,CLE,OKC,PR,24.5,1.97,2026-02-22T18:10:00Z,draftkings,2026-02-22 07:42:31,"1,1,1,1,1,0,1,0,1,0,0,0,0,1",1
5155,Donovan Mitchell,CLE,OKC,PRA,35.5,1.91,2026-02-22T18:10:00Z,draftkings,2026-02-22 07:42:31,"1,0,1,1,1,1,0,0,0,1,1,1,0,0",1
5173,Dean Wade,CLE,OKC,REB,3.5,1.72,2026-02-22T18:10:00Z,draftkings,2026-02-22 07:42:31,"1,1,0,0,0,0,0,1,1,1,0,1,1,0",1
