id,player_name,game_date,pts,reb,ast,threes_made,minutes_played,opp_abbrev,opp_def_rating,opp_pace
11511,Quentin Grimes,2026-02-22,19,3,7,5,,MIN,115.0,100.0
11512,Quentin Grimes,2026-02-21,11,1,3,2,,NOP,115.0,100.0
11513,Quentin Grimes,2026-02-19,14,2,1,2,,ATL,115.0,100.0
11514,Quentin Grimes,2026-02-11,0,0,0,0,,NYK,115.0,100.0
11515,Quentin Grimes,2026-02-09,0,0,0,0,,POR,115.0,100.0
11516,Quentin Grimes,2026-02-07,6,4,3,0,,PHX,115.0,100.0
11517,Quentin Grimes,2026-02-05,4,0,2,0,,LAL,115.0,100.0
11518,Quentin Grimes,2026-02-03,10,5,3,2,,GSW,115.0,100.0
11519,Quentin Grimes,2026-02-02,14,2,4,2,,LAC,115.0,100.0
11520,Quentin Grimes,2026-01-31,4,4,2,0,,NOP,115.0,100.0
11521,Quentin Grimes,2026-01-29,0,0,0,0,,SAC,115.0,100.0
11522,Quentin Grimes,2026-01-27,0,0,0,0,,MIL,115.0,100.0
11523,Quentin Grimes,2026-01-26,14,3,5,0,,CHA,115.0,100.0
11524,Quentin Grimes,2026-01-24,4,3,3,0,,NYK,115.0,100.0
11525,Quentin Grimes,2026-01-22,3,1,3,0,,HOU,115.0,100.0
11526,Quentin Grimes,2026-01-20,12,4,5,1,,PHX,115.0,100.0
11527,Quentin Grimes,2026-01-19,5,3,1,0,,IND,115.0,100.0
11528,Quentin Grimes,2026-01-16,14,7,4,2,,CLE,115.0,100.0
11529,Quentin Grimes,2026-01-14,8,5,0,2,,CLE,115.0,100.0
11530,Quentin Grimes,2026-01-12,6,4,2,1,,TOR,115.0,100.0
11531,Quentin Grimes,2026-01-11,13,7,1,1,,TOR,115.0,100.0
11532,Quentin Grimes,2026-01-09,6,1,3,1,,ORL,115.0,100.0
11533,Quentin Grimes,2026-01-07,16,1,1,1,,WAS,115.0,100.0
11534,Quentin Grimes,2026-01-05,16,4,2,3,,DEN,115.0,100.0
11535,Quentin Grimes,2026-01-03,10,6,5,2,,NYK,115.0,100.0
11536,Quentin Grimes,2026-01-01,19,7,2,5,,DAL,115.0,100.0
11537,Quentin Grimes,2025-12-30,11,3,3,2,,MEM,115.0,100.0
11538,Quentin Grimes,2025-12-28,13,2,3,3,,OKC,115.0,100.0
11539,Tyrese Maxey,2026-02-22,39,3,8,4,,MIN,115.0,100.0
11540,Tyrese Maxey,2026-02-21,27,3,7,2,,NOP,115.0,100.0
11541,Tyrese Maxey,2026-02-19,28,3,3,4,,ATL,115.0,100.0
11542,Tyrese Maxey,2026-02-11,32,2,2,3,,NYK,115.0,100.0
11543,Tyrese Maxey,2026-02-09,30,1,4,2,,POR,115.0,100.0
11544,Tyrese Maxey,2026-02-07,29,9,6,3,,PHX,115.0,100.0
11545,Tyrese Maxey,2026-02-05,26,0,13,1,,LAL,115.0,100.0
11546,Tyrese Maxey,2026-02-03,14,4,3,1,,GSW,115.0,100.0
11547,Tyrese Maxey,2026-02-02,29,5,6,7,,LAC,115.0,100.0
11548,Tyrese Maxey,2026-01-31,18,5,8,4,,NOP,115.0,100.0
