player_name,prop_type,line_value,suggestion,win_rate_3,ev_3,proj_3,win_rate_5,ev_5,proj_5,win_rate_10,ev_10,proj_10,win_rate_14,ev_14,proj_14,win_rate_28,ev_28,proj_28
Quentin Grimes,AST,3.5,OVER,36.3,-7.1,3.66,21.6,-21.8,2.18,21.0,-22.4,2.49,23.0,-20.5,2.35,22.9,-20.6,2.41
Tyrese Maxey,AST,6.5,OVER,54.9,-1.3,5.98,33.1,-23.1,4.78,40.9,-15.2,6.03,49.5,-6.7,6.42,49.7,-6.5,6.48
Jarace Walker,AST,3.5,OVER,99.9,38.7,6.33,61.3,0.0,4.39,47.9,-13.5,3.4,35.4,-26.0,2.98,22.1,-39.3,2.48
Andrew Nembhard,AST,6.5,OVER,33.3,-26.9,4.99,39.5,-20.7,4.96,49.0,-11.2,5.29,64.4,4.1,6.82,60.4,0.2,6.92
Jarace Walker,PTS,17.5,OVER,42.5,-7.5,16.26,45.1,-4.9,14.3,33.8,-16.2,14.74,38.8,-11.1,15.79,19.3,-30.7,12.4
Quentin Grimes,PTS,11.5,OVER,76.4,21.5,14.71,46.0,-8.9,8.86,33.6,-21.4,8.25,30.0,-24.9,7.11,38.9,-16.0,9.0
Andrew Nembhard,PTS,15.5,OVER,34.0,-19.2,9.16,40.0,-13.2,10.24,40.5,-12.7,11.68,43.1,-10.1,12.76,48.2,-4.9,14.05
Kam Jones,PTS,8.5,OVER,30.1,-23.1,6.01,37.9,-15.3,6.22,29.0,-24.2,5.16,20.5,-32.7,3.63,10.7,-42.5,2.41
Kelly Oubre Jr,PTS,16.5,OVER,78.1,26.6,20.11,63.5,11.9,16.13,51.8,0.2,15.61,42.4,-9.1,14.16,31.1,-20.5,10.78
VJ Edgecombe,PTS,16.5,OVER,67.4,16.4,19.42,41.9,-9.1,16.65,41.0,-10.1,15.16,31.0,-20.0,13.81,34.3,-16.7,14.57
Ben Sheppard,PTS,7.5,OVER,89.2,36.3,11.93,91.4,38.5,10.96,70.5,17.5,9.14,56.0,3.1,7.95,38.3,-14.6,6.25
Tyrese Maxey,PTS,30.5,OVER,45.3,-8.7,31.43,46.8,-7.3,31.11,31.3,-22.8,27.31,29.5,-24.6,25.97,37.1,-16.9,27.41
Ben Sheppard,PR,10.5,OVER,98.6,45.4,15.7,85.5,32.3,14.75,62.7,9.6,12.33,45.0,-8.2,10.3,33.0,-20.2,8.37
Jarace Walker,PR,24.5,OVER,72.3,16.2,27.99,60.0,3.8,22.39,44.8,-11.4,22.1,39.7,-16.5,22.01,20.9,-35.2,17.3
Andrew Nembhard,PR,18.5,OVER,31.8,-20.5,9.62,38.9,-13.4,11.29,38.9,-13.4,13.33,42.9,-9.4,15.53,49.5,-2.9,16.84
VJ Edgecombe,PR,21.5,OVER,71.9,16.9,26.4,43.6,-11.3,22.76,41.9,-13.1,21.09,32.3,-22.6,19.53,34.9,-20.1,19.88
Kelly Oubre Jr,PR,21.5,OVER,65.2,12.3,24.41,52.9,0.0,21.02,48.2,-4.7,20.91,39.0,-14.0,19.01,26.7,-26.2,14.67
Tyrese Maxey,PR,34.5,OVER,41.2,-12.0,34.32,36.8,-16.4,33.66,30.6,-22.6,30.73,28.6,-24.6,29.26,36.0,-17.2,30.88
Quentin Grimes,PR,15.5,OVER,53.1,2.6,16.65,32.7,-17.8,10.09,24.9,-25.6,10.24,23.5,-27.0,9.09,35.9,-14.6,12.12
VJ Edgecombe,PRA,25.5,OVER,63.9,12.1,27.68,38.8,-13.0,24.57,38.9,-12.9,24.15,34.6,-17.2,22.98,40.5,-11.3,23.98
Jarace Walker,PRA,29.5,OVER,77.2,25.4,34.26,59.1,7.3,26.84,39.5,-12.3,25.71,34.8,-17.1,25.02,18.0,-33.8,19.77
Kelly Oubre Jr,PRA,23.5,OVER,68.6,15.7,26.68,51.8,-1.1,23.35,50.2,-2.7,23.47,40.2,-12.7,21.22,28.3,-24.6,15.9
Andrew Nembhard,PRA,25.5,OVER,33.1,-20.9,14.8,40.1,-14.0,16.47,39.2,-14.8,18.8,46.0,-8.0,22.64,56.0,1.9,24.09
